"","CCC","lower.ci","upper.ci"
"wavelet.LH_glcm_SumAverage",0.833614511216898,0.675150189664631,0.918537767956409
"wavelet.LH_glcm_SumEntropy",0.881333335331374,0.770522071063159,0.940435752246538
"wavelet.LH_glcm_SumSquares",0.740970546012222,0.551006615084894,0.857925099019849
"wavelet.LH_glrlm_GrayLevelNonUniformity",0.82914007109639,0.713884042977493,0.900658663182996
"wavelet.LH_glrlm_GrayLevelNonUniformityNormalized",0.756081037423097,0.599543738971697,0.856902466826167
"wavelet.LH_glrlm_GrayLevelVariance",0.742427116068314,0.552011281749025,0.859247522743152
"wavelet.LH_glrlm_HighGrayLevelRunEmphasis",0.743653488551655,0.559815437195302,0.857717180991537
"wavelet.LH_glrlm_LongRunEmphasis",0.571775125765588,0.361028587939351,0.726957404728695
"wavelet.LH_glrlm_LongRunHighGrayLevelEmphasis",0.753472667741934,0.570356310004871,0.865241263205994
"wavelet.LH_glrlm_LongRunLowGrayLevelEmphasis",0.416995318418078,0.244794679053108,0.563693591540486
"wavelet.LH_glrlm_LowGrayLevelRunEmphasis",0.459080130910949,0.274389591881449,0.611106601511681
"wavelet.LH_glrlm_RunEntropy",0.871430264880891,0.752273969549866,0.93538577903695
"wavelet.LH_glrlm_RunLengthNonUniformity",0.991723933953684,0.98078695081434,0.996446235030838
"wavelet.LH_glrlm_RunLengthNonUniformityNormalized",0.660438988653874,0.448114195305248,0.802232798453696
"wavelet.LH_glrlm_RunPercentage",0.631941550133257,0.418184801715028,0.779381819051838
"wavelet.LH_glrlm_RunVariance",0.553254164881635,0.342628093776882,0.7109244308496
"wavelet.LH_glrlm_ShortRunEmphasis",0.632061591553642,0.419679611146753,0.778826419237692
"wavelet.LH_glrlm_ShortRunHighGrayLevelEmphasis",0.740783642398057,0.556536746520595,0.855583302844465
"wavelet.LH_glrlm_ShortRunLowGrayLevelEmphasis",0.469919530683457,0.282279821744401,0.622928629984174
"wavelet.LH_glszm_GrayLevelNonUniformity",0.913031480926357,0.838361212545235,0.954069085301933
"wavelet.LH_glszm_GrayLevelNonUniformityNormalized",0.79086896301265,0.64369517890857,0.881629608765052
"wavelet.LH_glszm_GrayLevelVariance",0.742892322566263,0.550800765439948,0.860242375843847
"wavelet.LH_glszm_HighGrayLevelZoneEmphasis",0.744578642928375,0.561027248556181,0.858344797238465
"wavelet.LH_glszm_LargeAreaEmphasis",0.374270170478067,0.201748777235628,0.524265878050402
"wavelet.LH_glszm_LargeAreaHighGrayLevelEmphasis",0.73544352881959,0.522003925940781,0.862204622521704
"wavelet.LH_glszm_LargeAreaLowGrayLevelEmphasis",0.282779636258086,0.16039844319478,0.396598308215828
"wavelet.LH_glszm_LowGrayLevelZoneEmphasis",0.436399780990363,0.262854412391831,0.582592107068156
"wavelet.LH_glszm_SizeZoneNonUniformity",0.984497849589123,0.956663011266134,0.994504907079435
"wavelet.LH_glszm_SizeZoneNonUniformityNormalized",0.723937011860528,0.516847709761598,0.850983592807337
"wavelet.LH_glszm_SmallAreaEmphasis",0.688166933544681,0.477843248413728,0.823869419059274
"wavelet.LH_glszm_SmallAreaHighGrayLevelEmphasis",0.731882033746234,0.54573276545187,0.84919333419893
"wavelet.LH_glszm_SmallAreaLowGrayLevelEmphasis",0.467298774111924,0.288511706147096,0.614597040984971
"wavelet.LH_glszm_ZoneEntropy",0.910877106948857,0.808407980949114,0.95976209226117
"wavelet.LH_glszm_ZonePercentage",0.675035979506117,0.462095717196288,0.81438133271376
"wavelet.LH_glszm_ZoneVariance",0.290522992376589,0.140620683398626,0.427403902580831
"wavelet.LH_ngtdm_Busyness",0.825390262247173,0.658372489275738,0.914942906249631
"wavelet.LH_ngtdm_Coarseness",0.994325108521412,0.988057815346217,0.997307762151026
"wavelet.LH_ngtdm_Complexity",0.59704716009476,0.389532034287079,0.746872234026062
"wavelet.LH_ngtdm_Contrast",0.864993366942122,0.736199619731311,0.933321777723956
"wavelet.LH_ngtdm_Strength",0.77110683254614,0.583599189938453,0.880547781789312
"wavelet.LH_gldm_DependenceEntropy",0.906335298143247,0.8036535371889,0.956610196859801
"wavelet.LH_gldm_DependenceNonUniformity",0.991906954474134,0.977199452540108,0.997141094331238
